CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
1.01.11.01|ATIVO NÃO CIRCULANTE MANTIDO PARA VENDA|01012021|31129999|198|S|1.01.11|4|01
1.01.11.01.01|Ativo Não Circulante Mantido Para Venda|01012021|31129999|199|A|1.01.11.01|5|01
1.01.11.01.55|(-) Perdas Estimadas por Redução ao Valor Recuperável (Impaiment) - Ativo Não Circulante Mantido para Venda|01012021|31129999|200|A|1.01.11.01|5|01
1.01.11.01.70|Subconta - Ajuste a Valor Justo - Ativo Não Circulante Mantido para Venda|01012021|31129999|201|A|1.01.11.01|5|01
1.01.11.01.75|Subconta - Ajuste a Valor Presente (AVP) -  Ativo Não Circulante Mantido para Venda|01012021|31129999|202|A|1.01.11.01|5|01
1.01.11.01.90|Subconta - Adoção Inicial -  Ativo Não circulante Mantido para Venda|01012021|31129999|203|A|1.01.11.01|5|01
1.02|ATIVO NÃO CIRCULANTE|01012021|31129999|204|S|1|2|01
1.02.01|REALIZÁVEL A LONGO PRAZO|01012021|31129999|205|S|1.02|3|01
1.02.01.01|CRÉDITOS E VALORES - LONGO PRAZO|01012021|31129999|206|S|1.02.01|4|01
1.02.01.01.01|Clientes - Longo Prazo|01012021|31129999|207|A|1.02.01.01|5|01
1.02.01.01.02|Mútuos com Partes Não Relacionadas  - Ativo- Longo Prazo|01012021|31129999|208|A|1.02.01.01|5|01
1.02.01.01.03|Mútuos com Partes Relacionadas - Ativo - Longo Prazo|01012021|31129999|209|A|1.02.01.01|5|01
1.02.01.01.04|Adiantamento para Futuro Aumento de Capital - Ativo - Longo Prazo|01012021|31129999|210|A|1.02.01.01|5|01
1.02.01.01.07|Títulos Patrimoniais Avaliados pelo Custo - Longo Prazo|01012021|31129999|211|A|1.02.01.01|5|01
1.02.01.01.09|Contraprestação Contingente Ativa  - Combinação de Negócios - Longo Prazo|01012021|31129999|212|A|1.02.01.01|5|01
1.02.01.01.10|Outros Valores Mobiliários - No Exterior - Longo Prazo|01012021|31129999|213|A|1.02.01.01|5|01
1.02.01.01.19|(-) Outras Contas Retificadoras - Créditos e Valores - Longo Prazo|01012021|31129999|214|A|1.02.01.01|5|01
1.02.01.01.20|Direitos Creditórios Cedidos - Longo Prazo|01012021|31129999|215|A|1.02.01.01|5|01
1.02.01.01.21|(-) Deságio na Cessão de Títulos - Longo Prazo|01012021|31129999|216|A|1.02.01.01|5|01
1.02.01.01.25|Direitos Creditórios a Receber - Longo Prazo|01012021|31129999|217|A|1.02.01.01|5|01
1.02.01.01.26|Duplicatas a Receber - Operações com Partes Não Relacionadas - no País - Longo Prazo|01012021|31129999|218|A|1.02.01.01|5|01
1.02.01.01.27|Duplicatas a Receber - Operações com Partes Não Relacionadas - no Exterior - Longo Prazo|01012021|31129999|219|A|1.02.01.01|5|01
1.02.01.01.28|Duplicatas a Receber - Operações com Partes Relacionadas - no País - Longo Prazo|01012021|31129999|220|A|1.02.01.01|5|01
1.02.01.01.29|Duplicatas a Receber - Operações com Partes Relacionadas - no Exterior - Longo Prazo|01012021|31129999|221|A|1.02.01.01|5|01
