TabelaDinamica;CodigoTabDinamica;VersaoTabDinamica;Ano;TipoDemonstracao;COD_PLAN_REF;DESC_COD_PLAN_REF;ESTRUTURA_COLUNAS
SPEDCONTABIL_CONTAS_REFERENCIAIS$SPEDCONTABIL_CONTASREF$1$198;REF;1;<2014;Balanço Patrimonial e Demonstração de Resultados;10;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_CONTAS_REFERENCIAIS$SPEDCONTABIL_CONTASREF_BACEN$1$199;REF_BACEN;1;<2014;Balanço Patrimonial e Demonstração de Resultados;20;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_CONTAS_REFERENCIAIS$SPEDCONTABIL_CONTASREF_SUSEP$1$200;REF_SUSEP;1;<2014;Balanço Patrimonial e Demonstração de Resultados;20;4 – Seguradoras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_CONTAS_REFERENCIAIS$SPEDCONTABIL_CONTASREF_TSE$1$225;REF_TSE;1;<2014;Balanço Patrimonial e Demonstração de Resultados;10;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L100_A$15$386;L100_A;15;2014;Balanço Patrimonial;1;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L100_B$7$387;L100_B;7;2014;Balanço Patrimonial;3;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L100_C$4$388;L100_C;4;2014;Balanço Patrimonial;4;4 – Seguradoras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L300_A$6$395;L300_A;6;2014;Demonstração de Resultados;1;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L300_B$5$396;L300_B;5;2014;Demonstração de Resultados;3;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L300_C$2$397;L300_C;2;2014;Demonstração de Resultados;4;4 – Seguradoras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_P100$12$389;P100;12;2014;Balanço Patrimonial;2;2 – PJ em Geral – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_P150$3$398;P150;3;2014;Demonstração de Resultados;2;2 – PJ em Geral – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_A$3$390;U100_A;3;2014;Balanço Patrimonial;5;5 – Imunes e Isentas em Geral;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_B$4$391;U100_B;4;2014;Balanço Patrimonial;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_C$3$392;U100_C;3;2014;Balanço Patrimonial;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_D$7$393;U100_D;7;2014;Balanço Patrimonial;8;8 – Entidades Fechadas de Previdência Complementar;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_E$3$394;U100_E;3;2014;Balanço Patrimonial;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U150_A$1$399;U150_A;1;2014;Demonstração de Resultados;5;5 – Imunes e Isentas em Geral;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U150_B$1$400;U150_B;1;2014;Demonstração de Resultados;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U150_C$2$401;U150_C;2;2014;Demonstração de Resultados;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U150_D$3$402;U150_D;3;2014;Demonstração de Resultados;8;8 – Entidades Fechadas de Previdência Complementar;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U150_E$3$403;U150_E;3;2014;Demonstração de Resultados;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L100_A$4$599;L100_A;4;2015;Balanço Patrimonial;1;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L100_B$3$600;L100_B;3;2015;Balanço Patrimonial;3;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L100_C$2$601;L100_C;2;2015;Balanço Patrimonial;4;4 – Seguradoras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L300_A$3$602;L300_A;3;2015;Demonstração de Resultados;1;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L300_B$7$603;L300_B;7;2015;Demonstração de Resultados;3;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L300_C$4$616;L300_C;4;2015;Demonstração de Resultados;4;4 – Seguradoras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_P100$3$604;P100;3;2015;Balanço Patrimonial;2;2 – PJ em Geral – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_P150$2$605;P150;2;2015;Demonstração de Resultados;2;2 – PJ em Geral – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_A$3$606;U100_A;3;2015;Balanço Patrimonial;5;5 – Imunes e Isentas em Geral;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_B$3$607;U100_B;3;2015;Balanço Patrimonial;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_C$3$608;U100_C;3;2015;Balanço Patrimonial;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_D$6$609;U100_D;6;2015;Balanço Patrimonial;8;8 – Entidades Fechadas de Previdência Complementar;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_E$5$590;U100_E;5;2015;Balanço Patrimonial;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_E$5$610;U100_E;5;2015;Balanço Patrimonial;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U150_A$2$611;U150_A;2;2015;Demonstração de Resultados;5;5 – Imunes e Isentas em Geral;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U150_B$7$612;U150_B;7;2015;Demonstração de Resultados;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U150_C$5$597;U150_C;5;2015;Demonstração de Resultados;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U150_C$5$613;U150_C;5;2015;Demonstração de Resultados;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U150_D$3$614;U150_D;3;2015;Demonstração de Resultados;8;8 – Entidades Fechadas de Previdência Complementar;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U150_E$4$615;U150_E;4;2015;Demonstração de Resultados;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_L100_A$3$728;L100_A;3;2016;Balanço Patrimonial;1;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_L100_B$3$729;L100_B;3;2016;Balanço Patrimonial;3;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_L100_C$3$730;L100_C;3;2016;Balanço Patrimonial;4;4 – Seguradoras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_L300_A$5$731;L300_A;5;2016;Demonstração de Resultados;1;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_L300_B$4$732;L300_B;4;2016;Demonstração de Resultados;3;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_L300_C$3$745;L300_C;3;2016;Demonstração de Resultados;4;4 – Seguradoras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_P100$3$733;P100;3;2016;Balanço Patrimonial;2;2 – PJ em Geral – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_P100_B$1$846;P100_B;1;2016;Balanço Patrimonial;10;10 – Financeiras – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_P150$5$734;P150;5;2016;Demonstração de Resultados;2;2 – PJ em Geral – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_P150_B$1$857;P150_B;1;2016;Demonstração de Resultados;10;10 – Financeiras – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U100_A$3$735;U100_A;3;2016;Balanço Patrimonial;5;5 – Imunes e Isentas em Geral;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U100_B$3$736;U100_B;3;2016;Balanço Patrimonial;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U100_C$3$737;U100_C;3;2016;Balanço Patrimonial;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U100_D$3$738;U100_D;3;2016;Balanço Patrimonial;8;8 – Entidades Fechadas de Previdência Complementar;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U100_E$3$739;U100_E;3;2016;Balanço Patrimonial;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U150_A$3$740;U150_A;3;2016;Demonstração de Resultados;5;5 – Imunes e Isentas em Geral;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U150_B$4$741;U150_B;4;2016;Demonstração de Resultados;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U150_C$3$742;U150_C;3;2016;Demonstração de Resultados;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U150_D$3$743;U150_D;3;2016;Demonstração de Resultados;8;8 – Entidades Fechadas de Previdência Complementar;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U150_E$3$744;U150_E;3;2016;Demonstração de Resultados;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_L100_A$2$870;L100_A;2;2017;Balanço Patrimonial;1;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_L100_B$2$871;L100_B;2;2017;Balanço Patrimonial;3;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_L100_C$1$872;L100_C;1;2017;Balanço Patrimonial;4;4 – Seguradoras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_L300_A$2$873;L300_A;2;2017;Demonstração de Resultados;1;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_L300_B$3$874;L300_B;3;2017;Demonstração de Resultados;3;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_L300_C$1$887;L300_C;1;2017;Demonstração de Resultados;4;4 – Seguradoras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_P100$2$875;P100;2;2017;Balanço Patrimonial;2;2 – PJ em Geral – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_P100_B$2$977;P100_B;2;2017;Balanço Patrimonial;10;10 – Financeiras – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_P150$1$876;P150;1;2017;Demonstração de Resultados;2;2 – PJ em Geral – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_P150_B$3$986;P150_B;3;2017;Demonstração de Resultados;10;10 – Financeiras – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U100_A$1$877;U100_A;1;2017;Balanço Patrimonial;5;5 – Imunes e Isentas em Geral;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U100_B$2$878;U100_B;2;2017;Balanço Patrimonial;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U100_C$1$879;U100_C;1;2017;Balanço Patrimonial;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U100_D$1$880;U100_D;1;2017;Balanço Patrimonial;8;8 – Entidades Fechadas de Previdência Complementar;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U100_E$1$881;U100_E;1;2017;Balanço Patrimonial;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U150_A$1$882;U150_A;1;2017;Demonstração de Resultados;5;5 – Imunes e Isentas em Geral;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U150_B$3$883;U150_B;3;2017;Demonstração de Resultados;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U150_C$1$884;U150_C;1;2017;Demonstração de Resultados;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U150_D$1$885;U150_D;1;2017;Demonstração de Resultados;8;8 – Entidades Fechadas de Previdência Complementar;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U150_E$1$886;U150_E;1;2017;Demonstração de Resultados;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_L100_A$1$1045;L100_A;1;2018;Balanço Patrimonial;1;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_L100_B$1$1046;L100_B;1;2018;Balanço Patrimonial;3;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_L100_C$1$1047;L100_C;1;2018;Balanço Patrimonial;4;4 – Seguradoras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_L300_A$1$1048;L300_A;1;2018;Demonstração de Resultados;1;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_L300_B$1$1049;L300_B;1;2018;Demonstração de Resultados;3;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
